Scenario,GCM,Crop,PC
Ref_dCC,CCSM4,Rice,-8.2631489
Ref_dCC,GFDL,Rice,-8.4767856
Ref_dCC,HADGEM_ES,Rice,-9.1673461
Ref_gCC,CCSM4,Rice,-6.1754698
Ref_gCC,GFDL,Rice,-7.2816332
Ref_gCC,HADGEM_ES,Rice,-7.2897188
Ref_dCC,CCSM4,Wheat,-1.7606706
Ref_dCC,GFDL,Wheat,-1.629863
Ref_dCC,HADGEM_ES,Wheat,-0.7661589
Ref_gCC,CCSM4,Wheat,2.163745
Ref_gCC,GFDL,Wheat,0.6906643
Ref_gCC,HADGEM_ES,Wheat,3.0442672
Ref_dCC,CCSM4,Soybeans,-11.1743152
Ref_dCC,GFDL,Soybeans,-10.6220014
Ref_dCC,HADGEM_ES,Soybeans,-11.6548743
Ref_gCC,CCSM4,Soybeans,-11.7625064
Ref_gCC,GFDL,Soybeans,-11.2042679
Ref_gCC,HADGEM_ES,Soybeans,-12.8127584